"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"5";"22pF";"C-EUC0402";"C0402";"C1321, C1322, C1952, C1953, C1954";"CAPACITOR, European symbol";"";
"4";"22uF";"C-EUC0402";"C0402";"C2421, C2422, C2423, C2703";"CAPACITOR, European symbol";"";
"1";"22uH";"L-EUWE-TPCWE_TPC_3MM8";"WE-TPC_3MM8-3MM8_R-1MM3";"L2601";"INDUCTOR, European symbol";"";
"1";"240R";"R-EU_R0402";"R0402";"R2501";"RESISTOR, European symbol";"";
"1";"27R";"R-EU_R0402";"R0402";"R1053";"RESISTOR, European symbol";"";
"3";"27R";"R-EU_R0805";"R0805";"R1113, R1123, R1133";"RESISTOR, European symbol";"";
"4";"2X20/90_1MM27_HARWIN_M50-3202045_SOCKET";"2X20/90_1MM27_HARWIN_M50-3202045_SOCKET";"2X20/90_1MM27_HARWIN_M50-3202045_SOCKET";"X3511, X3512, X3531, X3532";"Socket 20X2 1.27mm M50-3202045 Archer, 90°";"";
"2";"2kR";"R-EU_R0402";"R0402";"R1331, R1332";"RESISTOR, European symbol";"";
"3";"3.3pF";"C-EUC0402";"C0402";"C2263, C2282, C2283";"CAPACITOR, European symbol";"";
"1";"3.3uF";"C-EUC0402";"C0402";"C2405";"CAPACITOR, European symbol";"";
"1";"3.65MR";"R-EU_R0402";"R0402";"R2631";"RESISTOR, European symbol";"";
"1";"330kR";"R-EU_R0402";"R0402";"R3202";"RESISTOR, European symbol";"";
"3";"33kR";"R-EU_R0402";"R0402";"R0221, R1543, R2541";"RESISTOR, European symbol";"";
"2";"39pF";"C-EUC0402";"C0402";"C2264, C2281";"CAPACITOR, European symbol";"";
"1";"3R";"R-EU_R0402";"R0402";"R2411";"RESISTOR, European symbol";"";
"2";"4.3pF";"C-EUC0402";"C0402";"C2314, C2315";"CAPACITOR, European symbol";"";
"1";"4.75MR";"R-EU_R0402";"R0402";"R2641";"RESISTOR, European symbol";"";
"2";"4.7kR";"R-EU_R0402";"R0402";"R1943, R1944";"RESISTOR, European symbol";"";
"3";"4.7nH";"L-EUL0603";"L0603";"L2264, L3386, L3388";"INDUCTOR, European symbol";"";
"5";"4.7pF";"C-EUC0402";"C0402";"C2317, C2318, C2321, C2322, C2323";"CAPACITOR, European symbol";"";
"5";"4.7uF";"C-EUC0402";"C0402";"C0410, C0423, C1801, C1802, C2606";"CAPACITOR, European symbol";"";
"2";"43nH";"L-EUL0603";"L0603";"L2314, L2315";"INDUCTOR, European symbol";"";
"1";"470nF";"C-EUC0402";"C0402";"C2203";"CAPACITOR, European symbol";"";
"110";"47R";"R-EU_R0402";"R0402";"R0531, R0631, R0901, R0902, R0903, R0904, R1301, R1302, R1303, R1304, R1538, R1539, R1541, R1623, R1631, R1632, R1643, R1644, R1651, R1751, R1752, R1753, R1761, R1821, R1822, R1823, R1824, R1951, R1952, R1953, R2010, R2011, R2012, R2013, R2014, R2015, R2016, R2017, R2020, R2021, R2022, R2023, R2024, R2025, R2026, R2027, R2110, R2111, R2112, R2113, R2120, R2121, R2122, R2123, R2211, R2221, R2222, R2223, R2224, R2251, R2252, R2253, R2321, R2341, R2351, R2391, R2554, R2811, R3501, R3502, R3503, R3504, R3505, R3506, R3507, R3508, R3509, R3510, R3511, R3514, R3515, R3516, R3517, R3518, R3519, R3520, R3521, R3522, R3523, R3566, R3567, R3568, R3569, R3570, R3571, R3572, R3573, R3574, R3575, R3576, R3579, R3580, R3581, R3582, R3583, R3584, R3585, R3586, R3587, R3588";"RESISTOR, European symbol";"";
"2";"47nF";"C-EUC0402";"C0402";"C2205, C2503";"CAPACITOR, European symbol";"";
"1";"47nH";"L-EUL0603";"L0603";"L2262";"INDUCTOR, European symbol";"";
"2";"47pF";"C-EUC0402";"C0402";"C1901, C2204";"CAPACITOR, European symbol";"";
"1";"5.6pF";"C-EUC0402";"C0402";"C2266";"CAPACITOR, European symbol";"";
"1";"50mA/150mA";"R-EU_R1210";"R1210";"RPOLY3393";"RESISTOR, European symbol";"";
"2";"560R";"R-EU_R0402";"R0402";"R1831, R1841";"RESISTOR, European symbol";"";
"1";"6.86kR";"R-EU_R0402";"R0402";"R2512";"RESISTOR, European symbol";"";
"1";"6.8pF";"C-EUC0402";"C0402";"C2791";"CAPACITOR, European symbol";"";
"1";"7.50MR";"R-EU_R0402";"R0402";"R2632";"RESISTOR, European symbol";"";
"2";"74LVC4245A";"74LVC4245A";"TSSOP24_SOT355-1";"U2001, U2101";"Octal dual supply translating transceiver; 3-state";"";
"1";"8.20MR";"R-EU_R0402";"R0402";"R2642";"RESISTOR, European symbol";"";
"1";"8.2pF";"C-EUC0402";"C0402";"C0332";"CAPACITOR, European symbol";"";
"1";"9.1nH";"L-EUL0603";"L0603";"L2282";"INDUCTOR, European symbol";"";
"1";"ABM3B-16.0000MHZ";"ABM3B-16.0000MHZ";"ABM3B";"Q2311";"ABM3B Ceramic SMD Crystal";"";
"1";"ABM3B-32.0000MHZ";"ABM3B-32.0000MHZ";"ABM3B";"Q2211";"ABM3B Ceramic SMD Crystal";"";
"2";"ABS07-32.768KHZ";"ABS07-32.768KHZ";"ABS07";"Q0321, Q1321";"ABRACON ABS07";"";
"1";"ASMT-YTB7-0AA02_RGB";"ASMT-YTB7-0AA02_RGB";"ASMT-YTB7_0AA02_RGB";"D1101";"Broadcom ASMT-YTB7-0AA02";"";
"1";"AX5243";"AX5243";"QFN20-4X4-0P5-PAD";"U2301";"AX5243";"";
"1";"BME680";"BME680";"BME680";"U1401";"BME680 Climate Sensor";"";
"1";"BNO085";"BNO085";"BNO085_LGA28";"U1301";"hillcrestlabs BNO085";"";
"1";"BQ24193";"BQ24193";"VQFN-24";"U2501";"TI BQ24193";"";
"1";"BQ25570";"BQ25570";"V-PVQFN-20";"U2601";"TI BQ25570";"";
"1";"CAT24C64";"CAT24C64";"SOIC8_150MIL";"U0801";"CAT24C64";"";
"1";"CFPT-141-20MHZ";"CFPT-141-20MHZ";"CFPT-141";"U1531";"VCTCXO, 3.0V";"";
"1";"CMAD6001";"D_SOD923";"SOD923";"D1901";"DIODE with SOD923 footprint";"";
"4";"CRS08";"CRS08";"SOD80C";"D2521, D2681, D2801, D2802";"SCHOTTKY BARRIER RECTIFIER";"";
"2";"CUI SJ1-3535NS";"SJ1-353XNS_3MM5-STEREO-AUDIO-JACKS";"SJ1-353XNS_3MM5-STEREO-AUDIO-JACKS";"X3401, X3411";"SJ1-353XNS_3MM5-STEREO-AUDIO-JACKS";"";
"7";"D.C.";"R-EU_R0402";"R0402";"R1731, R1741, R1742, R1743, R1744, R1745, R1746";"RESISTOR, European symbol";"";
"2";"IS25LP032D";"IS25LP032D";"SOIC8_150MIL";"U0711, U0721";"ISSI IS25LP032D";"";
"1";"JR200";"C-TRIMM3MM2_2MM5";"3MM2_X_2MM5";"C0331";"Trimm capacitor";"";
"1";"JST_S3B-XH-A";"JST_S3B-XH-A";"JST_S3B-XH-A";"X2551";"JST S3B-XH-A shrouded header";"";
"1";"KSR223GLFG";"KSR223G_SMD_1POL";"KSR223G_SMD_1POL";"S0212";"KSR223G";"";
"1";"LM4120IM5-3.0";"LM4120IM5-3.0";"SOT95P285X120-5N";"U1501";"Precision Micropower Low Dropout Voltage Reference";"";
"1";"LM53603-Q1";"LM53603-Q1";"HTSSOP16";"U2401";"TI LM53603-Q1";"";
"2";"LPV811";"LPV811";"SOT-23-5";"U1542, U2541";"CMOS OPERATIONAL AMPLIFIERS";"";
"1";"MAX5217";"MAX5217";"µMAX8";"U1511";"Maxim Integrated MAX5217 DAC";"";
"1";"MCP4661-104E-MS";"MCP4661-104E-MS";"TSSOP14";"U2751";"Microchip MCP4661";"";
"1";"MICROSIM-8P_SDCARD-8P_MOLEX-104642-1610";"MICROSIM-8P_SDCARD-8P_MOLEX-104642-1610";"MICROSIM-8P_SDCARD-8P_MOLEX-104642-1610";"X1951";"Mikro-SIM and Mikro-SD-Cardholder";"";
"1";"MIDAS_MCCOG21605B6W-FPTLWI";"MIDAS_MCCOG21605B6W-FPTLWI";"MIDAS_MCCOG21605B6W-FPTLWI";"U1001";"MIDAS MCCOG21605B6W-FPTLWI";"";
"4";"MMBT2222";"BC846";"SOT23";"T1051, T1111, T1121, T1131";"NPN TRANSISTOR";"";
"1";"MMSZ4690-E3-08 (5.6V)";"ZENER-DIODESOD123";"SOD123";"D1902";"Z-Diode";"";
"1";"MOLEX 105017-0001";"USB_MICRO-B_MOLEX";"USB-B-MICRO-SMD_MOLEX-105017-0001";"X3201";"USB Type Micro-B Connector";"";
"3";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"H3611, H3621, H3631";"MOUNTING PAD, round";"";
"3";"N/A";"C-EUC0402";"C0402";"C2312, C2313, C2316";"CAPACITOR, European symbol";"";
"13";"N/A";"R-EU_R0402";"R0402";"R1611, R1612, R1635, R1636, R1661, R2114, R2115, R2116, R2117, R2124, R2125, R2126, R2127";"RESISTOR, European symbol";"";
"1";"NTC 10kR";"R-EU_R0402";"R0402";"R1941";"RESISTOR, European symbol";"";
"1";"OPA354";"OPA354";"SOT-23-5";"U1541";"CMOS OPERATIONAL AMPLIFIERS";"";
"2";"PCAL6416APW";"PCAL6416APW";"TSSOP24_SOT355-1";"U0521, U0621";"NXP PCAL6416A";"";
"1";"PCM1863";"PCM1863";"R-PDSO-G30";"U1701";"Texas Instruments PCM1863";"";
"1";"PE4259";"PE4259";"SC-70_6-LEAD_2X1MM25_0P65";"U2271";"pSemi  PE4259";"";
"16";"PTR1B1,27";"PTR1B1,27";"B1,27";"TP_+1V1, TP_+1V2_MCU, TP_+3V3_HICUR, TP_+3V3_XO, TP_+3V3_XO_PA, TP_BQ_VBAT, TP_BQ_VOUT, TP_BQ_VSTOR, TP_IN_CLK1, TP_IN_CLK2, TP_LIPO_BAT, TP_LIPO_CUR, TP_LIPO_SYS, TP_VBAT, TP_VSOL, TP_VUSB_SW";"TEST PIN";"";
"7";"PTR1TP06R";"PTR1TP06R";"TP06R";"TP_AX_ADC1, TP_AX_ADC2, TP_AX_IRQ, TP_AX_TCXO_EN, TP_SX_DIO1, TP_SX_DIO2, TP_SX_DIO3";"TEST PIN";"";
"1";"SAMTEC SMA-J-P-H-RA-TH1";"SMA_SMT_AMPHENOL-901-143";"SMA_SMT_AMPHENOL_901-143";"X3311";"RF/COAXIAL, SMA JACK, R/A, 50OHM, THD";"";
"1";"SIM868";"SIM868";"SIM868";"U1901";"SIMCom SIM868";"";
"1";"SMA_SMT_AMPHENOL-901-143";"SMA_SMT_AMPHENOL-901-143";"SMA_SMT_AMPHENOL_901-143";"X3301";"RF/COAXIAL, SMA JACK, R/A, 50OHM, THD";"";
"3";"SMA_SMT_AMPHENOL-901-143, SAMTEC SMA-J-P-H-RA-TH1";"SMA_SMT_AMPHENOL-901-143";"SMA_SMT_AMPHENOL_901-143";"X3371, X3381, X3391";"RF/COAXIAL, SMA JACK, R/A, 50OHM, THD";"";
"1";"STM32L4Z_144PIN_SMPS";"STM32L4Z_144PIN_SMPS";"LQFP144";"U0111";"STM32L4XX LQFP packages with actual and functional symbols.";"";
"1";"SX1262";"SX1262";"QFN24-4X4-0P5-PAD";"U2201";"Semtech SX1261/2";"";
"1";"Si5338";"SI5338";"QFN24_P0MM5_CTRPAD";"U1601";"SI5338";"";
"1";"TDK B4310";"TDK_B4310";"QCS5P";"U3392";"TDK B4310 SAW-filter for GNSS";"";
"1";"TPS62051";"TPS62051";"S-PDSO-G10";"U2701";"TPS62051 800-mA Synchronous Step-Down Converter: 3.3V";"";
"7";"TS5A23166";"TS5A23166";"R-PDSO-G8";"U1651, U2681, U2801, U2901, U3001, U3101, U3391";"TS5A23166";"";
"1";"TTE_EN11-HSM";"TTE_EN11-HSM";"TTE_EN11-HSM";"X1201";"TT-Electronics EN1-HSM Rotary Encoder with Switch";"";
"1";"WE-CBF_300R";"L-EUL3216C";"L3216C";"L3393";"INDUCTOR, European symbol";"";
"2";"WIRE-TO-BOARD_5MM08_1X02";"WIRE-TO-BOARD_5MM08_1X02";"WIRE-TO-BOARD_5MM08_1X02";"X2411, X2601";"Wire-to-Board connector 5.08mm 1x02";"";
"1";"WM8523";"WM8523";"TSSOP20";"U1801";"WM8523";"";
"1";"ZIO_EINK_1IN54";"ZIO_EINK_1IN54";"ZIO_EINK_1IN54";"U0911";"ZIO E-Ink Display 1.54in. V1.0";"";
