Stückliste exportiert aus /Users/espero/nfs_ds_nfs/git/HFT-Core-Module__HW_1V1/CAD/Eagle/HFT-Core-Module_1V1.sch am 20.10.18 21:47

Qty Value                                             Device                                Package                            Parts                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Description                                                 
2   2.7nF                                             C-EUC0603                             C0603                              C1031, C1041                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     CAPACITOR, European symbol                                  
1   220kR                                             R-EU_R0603                            R0603                              R1131                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            RESISTOR, European symbol                                   
5   220nF                                             C-EUC0603                             C0603                              C0511, C0521, C0601, C0801, C0804                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                CAPACITOR, European symbol                                  
4   22nH                                              R-US_R0603                            R0603                              L1711, L1716, L1717, L1721                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       RESISTOR, American symbol                                   
1   22uH                                              L-EUWE-TPCWE_TPC_3MM8                 WE-TPC_3MM8-3MM8_R-1MM3            L1901                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            INDUCTOR, European symbol                                   
4   27R                                               R-EU_R0805                            R0805                              R1153, R1213, R1223, R1233                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       RESISTOR, European symbol                                   
6   2X20/90_1MM27_HARWIN_M50-3202045                  2X20/90_1MM27_HARWIN_M50-3202045      2X20/90_1MM27_HARWIN_M50-3202045   X2911, X2912, X2921, X2922, X2931, X2932                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Header 20X2 1.27mm M50-3202045 Archer, 90°                  
1   3..10pF                                           C-TRIMM3MM2_2MM5                      3MM2_X_2MM5                        C1511                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Trimm capacitor                                             
1   330kR                                             R-EU_R0603                            R0603                              R2602                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            RESISTOR, European symbol                                   
2   330pF HiQ                                         C-EUC0603                             C0603                              C1621, C1651                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     CAPACITOR, European symbol                                  
5   33kR                                              R-EU_R0603                            R0603                              R0221, R2202, R2302, R2402, R2502                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                RESISTOR, European symbol                                   
2   4.3pF                                             C-EUC0603                             C0603                              C1714, C1715                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     CAPACITOR, European symbol                                  
5   4.7pF                                             C-EUC0603                             C0603                              C1717, C1718, C1721, C1722, C1723                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                CAPACITOR, European symbol                                  
2   4.7uF                                             C-EUC0603                             C0603                              C1001, C1002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     CAPACITOR, European symbol                                  
2   4.7uF                                             C-EUC0805                             C0805                              C0410, C0423                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     CAPACITOR, European symbol                                  
