Stückliste exportiert aus /Users/espero/nfs_ds_nfs/git/HFT-Core-Module__HW_1V0/CAD/Eagle/HFT-Core-Module_1V0.sch am 10.08.18 23:08

Qty Value                                             Device                             Package                            Parts                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Description                                                 
1   1kR                                               R-EU_R0603                         R0603                              R1411                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      RESISTOR, European symbol                                   
7   1nF                                               C-EUC0603                          C0603                              C0911, C0921, C0999, C1261, C1262, C1271, C2003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            CAPACITOR, European symbol                                  
1   1u                                                C-EUC0603                          C0603                              C0801                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CAPACITOR, European symbol                                  
5   1uF                                               C-EUC0805                          C0805                              C0413, C0442, C0622, C1211, C1221                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          CAPACITOR, European symbol                                  
2   2.2kR                                             R-EU_R0603                         R0603                              R1204, R1207                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               RESISTOR, European symbol                                   
1   2.2uH 14mR                                        L-EU6.0X6.0MM                      L_6X6MM                            L0433                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      INDUCTOR, European symbol                                   
1   2.7pF                                             C-EUC0603                          C0603                              C0857                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CAPACITOR, European symbol                                  
5   220nF                                             C-EUC0603                          C0603                              C0704, C1104, C1105, C1131, C1141                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          CAPACITOR, European symbol                                  
2   22kR                                              R-EU_R0603                         R0603                              R1104, R1105                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               RESISTOR, European symbol                                   
4   22nH                                              R-US_R0603                         R0603                              L_AX_1, L_AX_B1, L_AX_B2, L_AX_F1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          RESISTOR, American symbol                                   
6   2X20/90_1MM27_HARWIN_M50-3202045                  2X20/90_1MM27_HARWIN_M50-3202045   2X20/90_1MM27_HARWIN_M50-3202045   X2311, X2312, X2321, X2322, X2331, X2332                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Header 20X2 1.27mm M50-3202045 Archer, 90°                  
1   3.3kR                                             R-EU_R0603                         R0603                              R0311                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      RESISTOR, European symbol                                   
1   3.3pF                                             C-EUC0603                          C0603                              C0843                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CAPACITOR, European symbol                                  
2   3.9kR                                             R-EU_R0603                         R0603                              R1331, R1332                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               RESISTOR, European symbol                                   
1   310kR                                             R-EU_R0603                         R0603                              R1408                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      RESISTOR, European symbol                                   
1   330kR                                             R-EU_R0603                         R0603                              R2002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      RESISTOR, European symbol                                   
2   330pF HiQ                                         C-EUC0603                          C0603                              C0992, C0993                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               CAPACITOR, European symbol                                  
10  33kR                                              R-EU_R0603                         R0603                              R1110, R1132, R1135, R1142, R1145, R1241, R1502, R1702, R1802, R1902                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       RESISTOR, European symbol                                   
1   33nH                                              R-US_R0603                         R0603                              L0861                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      RESISTOR, American symbol                                   
1   33pF                                              C-EUC0603                          C0603                              C0862                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CAPACITOR, European symbol                                  
1   33uH                                              L-EU13.5X12.5MM                    L_13.5X12.5MM                      L1403                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      INDUCTOR, European symbol                                   
2   4.3pF                                             C-EUC0603                          C0603                              C_AX_T1, C_AX_T2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           CAPACITOR, European symbol                                  
1   4.7p                                              C-EUC0603                          C0603                              C0812                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CAPACITOR, European symbol                                  
1   4.7p                                              C-TRIMM3MM2_2MM5                   3MM2_X_2MM5                        C0811                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Trimm capacitor                                             
8   4.7pF                                             C-EUC0603                          C0603                              C0853, C0863, C0871, C_AX_A2, C_AX_A3, C_AX_B2, C_AX_F2, C_AX_M1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           CAPACITOR, European symbol                                  
2   4.7uF                                             C-EUC0805                          C0805                              C0410, C0423                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               CAPACITOR, European symbol                                  
2   43nH                                              R-US_R0603                         R0603                              L_AX_T1, L_AX_T2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           RESISTOR, American symbol                                   
84  47R                                               R-EU_R0603                         R0603                              R0241, R0242, R0243, R0251, R0252, R0253, R0254, R0261, R0262, R0263, R0269, R0271, R0272, R0273, R0274, R0275, R0276, R0277, R0281, R0282, R0283, R0284, R0285, R0286, R0287, R0288, R0289, R0290, R0291, R0292, R0293, R0294, R0295, R0296, R0642, R0713, R0714, R0723, R0724, R0731, R0732, R0735, R0736, R0743, R0744, R0802, R0803, R0831, R1021, R1041, R1051, R1061, R1106, R1107, R1108, R1109, R1114, R2310, R2311, R2312, R2313, R2314, R2315, R2316, R2317, R2318, R2320, R2321, R2322, R2323, R2324, R2325, R2326, R2327, R2328, R2330, R2331, R2332, R2333, R2334, R2335, R2336, R2337, R2338 RESISTOR, European symbol                                   
7   47pF                                              C-EUC0603                          C0603                              C0844, C0846, C0851, C0852, C0873, C0875, C1113                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            CAPACITOR, European symbol                                  
3   47uF                                              C-EUC0805                          C0805                              C1406, C1602, C1606                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        CAPACITOR, European symbol                                  
1   5.2kR                                             R-EU_R0603                         R0603                              R1202                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      RESISTOR, European symbol                                   
2   50R                                               R-EU_R0603                         R0603                              R0638, R0639                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               RESISTOR, European symbol                                   
1   6.2nH                                             R-US_R0603                         R0603                              L0864                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      RESISTOR, American symbol                                   
2   6.8pF                                             C-EUC0603                          C0603                              C0856, C0859                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               CAPACITOR, European symbol                                  
1   68R                                               R-EU_R0603                         R0603                              R1301                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      RESISTOR, European symbol                                   
1   68R                                               R-EU_R0805                         R0805                              R1203                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      RESISTOR, European symbol                                   
1   68nH                                              R-US_R0603                         R0603                              L0851                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      RESISTOR, American symbol                                   
1   ABM03B-32.000MHZ                                  ABM03B-32.000MHZ                   ABM03B                             Q0811                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ABRACON ABM03B                                              
1   ABM3B-16MHZ-10-R50-1-U                            ABM03B-16.000MHZ                   ABM03B                             Q0911                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ABRACON ABM03B                                              
1   ABS07-32.768KHZ                                   ABS07-32.768KHZ                    ABS07                              Q0521                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ABRACON ABS07                                               
1   AX5243                                            AX5243                             QFN20-4X4-0P5-PAD                  U0901                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      AX5243                                                      
1   CFPT-141-20MHZ                                    CFPT-141-20MHZ                     CFPT-141                           U0631                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      VCTCXO, 3.0V                                                
1   CMAD6001                                          D_SOD923                           SOD923                             D0451                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      DIODE with SOD923 footprint                                 
2   CRS08                                             CRS08                              SOD80C                             D1403, D1501                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               SCHOTTKY BARRIER RECTIFIER                                  
2   CUI SJ1-3535NS                                    SJ1-353XNS_3MM5-STEREO-AUDIO-JACKS SJ1-353XNS_3MM5-STEREO-AUDIO-JACKS X2201, X2211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               SJ1-353XNS_3MM5-STEREO-AUDIO-JACKS                          
1   KSR223G                                           KSR223G_SMD_1POL                   KSR223G_SMD_1POL                   S0312                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      KSR223G                                                     
1   LM4120IM5-3.0                                     LM4120IM5-3.0                      SOT95P285X120-5N                   U0601                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Precision Micropower Low Dropout Voltage Reference          
1   MAX5136AGTG+                                      MAX5136                            QFN24_P0MM5_CTRPAD                 U1111                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      MAX5136                                                     
1   MAX5217                                           MAX5217                            µMAX8                              U0611                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Maxim Integrated MAX5217 DAC                                
1   MCP3911A0-E-SS                                    MCP3911                            QFN20_P0MM5_CTRPAD                 U1101                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Microchip MCP3911                                           
3   MMBT2222                                          BC846                              SOT23                              T1201, T1202, T1203                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        NPN TRANSISTOR                                              
1   MOLEX 105017-0001                                 USB_MICRO-B_MOLEX                  USB-B-MICRO-SMD_MOLEX-105017-0001  X2001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      USB Type Micro-B Connector                                  
4   MOUNT-PAD-ROUND2.8                                MOUNT-PAD-ROUND2.8                 2,8-PAD                            H2401, H2402, H2403, H2404                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 MOUNTING PAD, round                                         
